#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Plasmodium chabaudi chabaudi	31271	PRJNA317457	317457	Protists	Apicomplexans	18.9738	23.5926	GCA_900002335.2	chromosome API:LK022892.1; mitochondrion MIT:NW_015971901.1/LK022893.1; apicoplast Pltd:NC_023293.1/	-	16	5437	5230	27/8/2014	4/6/2019	Chromosome	NCBI	SAMEA768774
Plasmodium falciparum 3D7	36329	PRJNA13173	13173	Protists	Apicomplexans	23.3328	19.3346	GCA_000002765.3	chromosome 1:AL844501.2; chromosome MIT:LR605957.1; chromosome 2:LN999943.1; chromosome API:LR605956.1; chromosome 3:AL844502.2; chromosome 4:AL844503.2; chromosome 5:AL844504.2; chromosome 6:AL844505.2; chromosome 7:AL844506.3; chromosome 8:AL844507.3; chromosome 9:AL844508.2; chromosome 10:LN999944.1; chromosome 11:LN999945.1; chromosome 12:LN999947.1; chromosome 13:AL844509.3; chromosome 14:LN999946.1	-	15	5797	5387	2/10/2002	10/10/2019	Complete Genome	Plasmodium falciparum Genome Sequencing Consortium	SAMN00102897
Plasmodium knowlesi strain H	5851	PRJEA28803	28803	Protists	Apicomplexans	24.396	38.6216	GCA_000006355.3	chromosome 1:NC_011902.2/AM910983.2; chromosome 2:NC_011903.2/AM910984.2; chromosome 3:NC_011904.2/AM910985.2; chromosome 4:NC_011905.2/AM910986.2; chromosome 5:NC_011906.2/AM910987.2; chromosome 6:NC_011907.2/AM910988.3; chromosome 7:NC_011908.2/AM910989.2; chromosome 8:NC_011909.2/AM910990.2; chromosome 9:NC_011910.2/AM910991.2; chromosome 10:NC_011911.2/AM910992.2; chromosome 11:NC_011912.2/AM910993.2; chromosome 12:NC_011913.2/AM910994.2; chromosome 13:NC_011914.2/AM910995.2; chromosome 14:NC_011915.2/AM910996.3; apicoplast API:NC_051845.1/LR761315.1; mitochondrion MIT:LR761316.1; mitochondrion MT:NC_007232.1/	CADCXE01	164	5501	5328	4/7/2008	20/2/2020	Chromosome	Wellcome Trust Sanger Institute	SAMEA2272753
Plasmodium vivax	5855	PRJNA150	150	Protists	Apicomplexans	27.0137	42.2825	GCA_000002415.2	chromosome 1:NC_009906.1/CM000442.1; chromosome 2:NC_009907.1/CM000443.1; chromosome 3:NC_009908.2/CM000444.2; chromosome 4:NC_009909.1/CM000445.1; chromosome 5:NC_009910.1/CM000446.1; chromosome 6:NC_009911.1/CM000447.1; chromosome 7:NC_009912.1/CM000448.1; chromosome 8:NC_009913.1/CM000449.1; chromosome 9:NC_009914.1/CM000450.1; chromosome 10:NC_009915.1/CM000451.1; chromosome 11:NC_009916.1/CM000452.1; chromosome 12:NC_009917.1/CM000453.1; chromosome 13:NC_009918.1/CM000454.1; chromosome 14:NC_009919.1/CM000455.1; mitochondrion MT:NC_007243.1/	AAKM01	2748	5482	5392	20/9/2005	17/4/2018	Chromosome	TIGR	SAMN02953638
Theileria annulata	5874	PRJNA153	153	Protists	Apicomplexans	8.35812	32.5492	GCA_000003225.1	chromosome 1:NC_011129.2/CR940347.1; chromosome 2:NC_011099.1/CR940348.1; chromosome 3:NC_011100.1/CR940352.2; chromosome 4:NC_011098.1/CR940353.1	-	8	3796	3795	15/5/2005	1/2/2021	Chromosome	The Sanger Institute	SAMEA3138180
Theileria parva strain Muguga	333668	PRJNA16138	16138	Protists	Apicomplexans	8.34761	34.0411	GCA_000165365.1	chromosome 1:NC_007344.1/AAGK01000001.1; chromosome 2:NC_007345.1/AAGK01000002.1; apicoplast Pltd:NC_007758.1/AAGK01000009.1	AAGK01	9	4141	4061	30/6/2005	29/7/2021	Chromosome	TIGR	SAMN02953620
Caenorhabditis briggsae	6238	PRJNA10731	10731	Animals	Roundworms	108.384	37.6966	GCA_000004555.3	chromosome I:NC_013489.2/FR847112.2; chromosome II:NC_013486.2/FR847113.2; chromosome III:NC_013490.2/FR847114.2; chromosome IV:NC_013487.2/FR847118.2; chromosome V:NC_013488.2/FR847121.2; chromosome X:NC_013491.2/FR847123.2	CAAC03	638	22727	21954	22/8/2002	10/4/2015	Chromosome	The C.briggsae Sequencing Consortium	SAMEA3138181
Caenorhabditis elegans	6239	PRJNA13758	13758	Animals	Roundworms	100.286	35.4317	GCA_000002985.3	chromosome I:NC_003279.8/BX284601.5; chromosome II:NC_003280.10/BX284602.5; chromosome III:NC_003281.10/BX284603.4; chromosome IV:NC_003282.8/BX284604.4; chromosome V:NC_003283.11/BX284605.5; chromosome X:NC_003284.9/BX284606.5; mitochondrion MT:NC_001328.1/	-	7	46926	28546	3/12/2001	26/4/2022	Complete Genome	C. elegans Sequencing Consortium	-
Brugia malayi	6279	PRJNA10729	10729	Animals	Roundworms	87.1557	28.5	GCA_000002995.5	-	CAAKNF01	196	11680	14388	8/5/2019	8/5/2019	Scaffold	"WormBase group, EBI"	SAMEA3146321
Babesia bovis T2Bo	484906	PRJNA18731	18731	Protists	Apicomplexans	8.22883	41.5312	GCA_000165395.2	chromosome 1:NC_067396.1/CM031752.1; chromosome 2:NC_010574.1/CM031753.1; chromosome 3:NC_010575.1/CM031754.1; apicoplast API:CM031755.1; mitochondrion MT:NC_009902.1/; apicoplast Pltd:NC_067219.1/	AAXT02	8	4044	4009	6/8/2007	26/5/2021	Chromosome	The J. Craig Venter Institute	SAMN02953679
Dictyostelium discoideum AX4	352472	PRJNA201	201	Protists	Other Protists	34.205	22.4631	GCA_000004695.1	chromosome 1:NC_007087.3/CM000150.2; chromosome 2:NC_007088.5/CM000151.3; chromosome 3:NC_007089.4/CM000152.2; chromosome 4:NC_007090.3/CM000153.2; chromosome 5:NC_007091.3/CM000154.2; chromosome 6:NC_007092.3/CM000155.2; plasmid Ddp5:NC_001889.1/; mitochondrion MT:NC_000895.1/	AAFI02	41	13961	13315	3/3/2005	6/8/2014	Chromosome	The Dictyostelium discoideum Sequencing Consortium	SAMN02953606
Plasmodium yoelii	5861	PRJNA317465	317465	Protists	Apicomplexans	23.0835	21.7373	GCA_900002385.2	chromosome 1:NC_036173.2/LM993655.2; chromosome 2:NC_036174.2/LM993656.2; chromosome 3:NC_036175.2/LM993657.2; chromosome 4:NC_036176.2/LM993658.2; chromosome 5:NC_036177.2/LM993659.2; chromosome 6:NC_036178.2/LM993660.2; chromosome 7:NC_036179.2/LM993661.2; chromosome 8:NC_036180.2/LM993662.2; chromosome 9:NC_036181.2/LM993663.2; chromosome 10:NC_036182.2/LM993664.2; chromosome 11:NC_036183.2/LM993665.2; chromosome 12:NC_036184.2/LM993666.2; chromosome 13:NC_036185.2/LM993667.2; chromosome 14:NC_036186.2/LM993668.2; mitochondrion MIT:NW_019223694.1/LM993670.2; apicoplast API:NW_019223693.1/LM993669.2	-	16	6233	6039	27/8/2014	23/5/2020	Complete Genome	NCBI	SAMEA1032065
Tetrahymena thermophila SB210	312017	PRJNA12564	12564	Protists	Other Protists	103.014	22.3	GCA_000189635.1	macronuclear:AAGF00000000.3	AAGF03	1158	53992	53992	14/2/2005	6/8/2014	Scaffold	TIGR	SAMN02953617
Phytophthora sojae	67593	PRJNA17989	17989	Protists	Other Protists	82.5976	54.4	GCA_000149755.2	-	AAQY02	82	28142	26489	1/9/2006	6/8/2014	Scaffold	"US DOE Joint Genome Institute, USA, Walnut Creek"	SAMN02953656
Phytophthora ramorum	164328	PRJNA738483	738483	Protists	Other Protists	57.4514	54.2	GCA_020800215.1	-	JAICDV01	28	15268	15506	8/11/2021	8/11/2021	Scaffold	USDA ARS	SAMN19730089
Schmidtea mediterranea	79327	PRJNA731187	731187	Animals	Flatworms	773.975	29.6538	GCA_022537955.1	chromosome 1:CM039679.1; chromosome 2:CM039680.1; chromosome 3:CM039681.1; chromosome 4:CM039682.1	JAKGRZ01	147	-	-	9/3/2022	10/6/2022	Chromosome	"University of California, Los Angeles"	SAMN19275626
Schistosoma mansoni	6183	PRJEA36577	36577	Animals	Flatworms	364.538	35.2771	GCA_000237925.2	chromosome 1:NC_031495.1/HE601624.1; chromosome 2:NC_031496.1/HE601625.1; chromosome 3:NC_031497.1/HE601626.1; chromosome 4:NC_031498.1/HE601627.1; chromosome 5:NC_031499.1/HE601628.1; chromosome 6:NC_031500.1/HE601629.1; chromosome 7:NC_031501.1/HE601630.1; chromosome W:NC_031502.1/HE601631.1; mitochondrion MT:NC_002545.1/HE601612.1	CABG01	885	13256	11713	3/10/2011	19/10/2016	Chromosome	Schistosoma Genome Network	SAMEA2272516
Schistosoma japonicum	6182	PRJNA724792	724792	Animals	Flatworms	406.576	34.0137	GCA_025215515.1	chromosome 1:CM046061.1; chromosome 2:CM046062.1; chromosome 3:CM046063.1; chromosome 4:CM046064.1; chromosome 5:CM046065.1; chromosome 6:CM046066.1; chromosome 7:CM046067.1; chromosome W:CM046068.1; chromosome Z:CM046069.1	JAGWFQ01	100	-	-	15/9/2022	16/9/2022	Chromosome	Tongji University School of Medicine	SAMN18858510
Trichinella spiralis	6334	PRJNA12603	12603	Animals	Roundworms	63.5254	35.1	GCA_000181795.2	-	ABIR02	6863	16549	16380	14/12/2007	10/1/2019	Scaffold	Washington University School of Medicine	SAMN02953711
Fasciola hepatica	6192	PRJEB25283	439417	Animals	Flatworms	1203.65	44.2	GCA_900302435.1	-	OMOY01	2816	-	-	21/4/2018	21/4/2018	Scaffold	University of Liverpool	SAMEA104656475
Plasmodium reichenowi	5854	PRJNA329100	329100	Protists	Apicomplexans	20.5017	19.8559	GCA_001601855.1	chromosome 1:NC_033646.1/CM003842.1; chromosome 2:NC_033647.1/CM003843.1; chromosome 3:NC_033648.1/CM003844.1; chromosome 4:NC_033649.1/CM003845.1; chromosome 5:NC_033650.1/CM003846.1; chromosome 6:NC_033651.1/CM003847.1; chromosome 7:NC_033652.1/CM003848.1; chromosome 8:NC_033653.1/CM003849.1; chromosome 9:NC_033654.1/CM003850.1; chromosome 10:NC_033655.1/CM003851.1; chromosome 11:NC_033656.1/CM003852.1; chromosome 12:NC_033657.1/CM003853.1; chromosome 13:NC_033658.1/CM003854.1; chromosome 14:NC_033659.1/CM003855.1; apicoplast Pltd:NW_017962150.1/CM003883.1	LVLA01	777	5229	5279	28/3/2016	8/4/2016	Chromosome	NCBI	SAMN04053640
Pristionchus pacificus	54126	PRJNA12644	12644	Animals	Roundworms	158.478	42.9789	GCA_000180635.4	chromosome I:CM026575.1; chromosome II:CM026576.1; chromosome III:CM026577.1; chromosome IV:CM026578.1; chromosome V:CM026579.1; chromosome X:CM026580.1	ABKE04	46	28149	28149	7/1/2009	2/11/2020	Chromosome	Washington University (WashU)	SAMN02953718
Neospora caninum Liverpool	572307	PRJEA37771	37771	Protists	Apicomplexans	57.5474	54.8511	GCA_000208865.2	chromosome Ia:NC_018385.1/FR823380.1; chromosome Ib:NC_018386.1/FR823381.1; chromosome II:NC_018387.1/FR823382.1; chromosome III:NC_018388.1/FR823383.1; chromosome IV:NC_018389.1/FR823384.1; chromosome V:NC_018391.1/FR823386.1; chromosome VI:NC_018392.1/FR823387.1; chromosome VIIa:NC_018393.1/FR823388.1; chromosome VIIb:NC_018394.1/FR823389.1; chromosome VIII:NC_018395.1/FR823390.1; chromosome IX:NC_018390.1/FR823385.1; chromosome X:NC_018396.1/FR823391.1; chromosome XI:NC_018397.1/FR823392.1; chromosome XII:NC_018398.1/FR823393.1	-	14	7084	6934	2/3/2011	28/3/2018	Chromosome	Wellcome Trust Sanger Institute	SAMEA2272006
Leishmania infantum JPCM5	435258	PRJNA12658	12658	Protists	Kinetoplasts	32.1221	59.5663	GCA_000002875.2	chromosome 1:NC_009386.2/FR796433.1; chromosome 2:NC_009387.2/FR796434.1; chromosome 3:NC_009388.2/FR796435.1; chromosome 4:NC_009389.2/FR796436.1; chromosome 5:NC_009390.2/FR796437.1; chromosome 6:NC_009277.2/FR796438.1; chromosome 7:NC_009391.2/FR796439.1; chromosome 8:NC_009392.2/FR796440.1; chromosome 9:NC_009393.2/FR796441.1; chromosome 10:NC_009394.2/FR796442.1; chromosome 11:NC_009395.2/FR796443.1; chromosome 12:NC_009396.2/FR796444.1; chromosome 13:NC_009397.2/FR796445.1; chromosome 14:NC_009398.2/FR796446.1; chromosome 15:NC_009399.2/FR796447.1; chromosome 16:NC_009400.2/FR796448.1; chromosome 17:NC_009401.2/FR796449.1; chromosome 18:NC_009402.2/FR796450.1; chromosome 19:NC_009403.2/FR796451.1; chromosome 20:NC_009404.2/FR796452.1; chromosome 21:NC_009405.2/FR796453.1; chromosome 22:NC_009406.2/FR796454.1; chromosome 23:NC_009407.2/FR796455.1; chromosome 24:NC_009408.2/FR796456.1; chromosome 25:NC_009409.2/FR796457.1; chromosome 26:NC_009410.2/FR796458.1; chromosome 27:NC_009411.2/FR796459.1; chromosome 28:NC_009412.2/FR796460.1; chromosome 29:NC_009413.2/FR796461.1; chromosome 30:NC_009414.2/FR796462.1; chromosome 31:NC_009415.2/FR796463.1; chromosome 32:NC_009416.2/FR796464.1; chromosome 33:NC_009417.2/FR796465.1; chromosome 34:NC_009418.2/FR796466.1; chromosome 35:NC_009419.2/FR796467.1; chromosome 36:NC_009420.2/FR796468.1	CACT01	76	8372	8150	4/4/2007	3/11/2011	Chromosome	The Sanger Institute	SAMEA3138175
Caenorhabditis japonica	281687	PRJNA12591	12591	Animals	Roundworms	166.256	39.9	GCA_000147155.1	-	ABLE03	18817	-	-	3/4/2008	6/8/2014	Scaffold	Washington University (WashU)	SAMN02953724
Caenorhabditis remanei	31234	PRJNA933661	933661	Animals	Roundworms	130.467	38.0094	GCA_010183535.1	chromosome I:CM021144.1; chromosome II:CM021145.1; chromosome III:CM021146.1; chromosome IV:CM021147.1; chromosome V:CM021148.1; chromosome X:CM021149.1; mitochondrion MT:CM021150.1	WUAV01	186	26332	26189	5/2/2020	10/2/2020	Chromosome	NCBI	SAMN13028143
Caenorhabditis brenneri	135651	PRJNA20035	20035	Animals	Roundworms	190.37	39.7	GCA_000143925.2	-	ABEG02	3305	32246	30670	17/7/2007	6/8/2014	Scaffold	The Caenorhabditis brenneri Sequencing and Analysis Consortium	SAMN02953693
Trichomonas vaginalis G3	412133	PRJNA938429	938429	Protists	Other Protists	181.467	32.7104	GCA_026262505.1	chromosome I:NC_067203.1/CM044617.1; chromosome II:NC_067204.1/CM044618.1; chromosome III:NC_067205.1/CM044619.1; chromosome IV:NC_067206.1/CM044620.1; chromosome V:NC_067207.1/CM044621.1; chromosome VI:NC_067208.1/CM044622.1	JAOSJJ01	218	88156	72290	1/8/2022	21/11/2022	Chromosome	NCBI	SAMN31107788
Meloidogyne hapla	6305	PRJNA29083	29083	Animals	Roundworms	53.013	27.4	GCA_000172435.1	-	ABLG01	3450	-	-	29/9/2008	1/8/2014	Contig	"Center for the Biology of Nematode Parasitism, NCSU"	SAMN02743742
Naegleria gruberi	5762	PRJNA14010	14010	Protists	Other Protists	40.9641	35	GCA_000004985.1	-	ACER01	784	16620	15711	23/12/2009	6/8/2014	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02953745
Physarum polycephalum	5791	PRJNA12851	12851	Protists	Other Protists	205.176	41.9	GCA_000413255.3	-	ATCM03	69687	-	-	14/6/2013	8/3/2016	Scaffold	WUGSC	SAMN02839457
Ochromonas danica	2986	PRJNA546545	546545	Protists	Other Protists	44.1931	26.4	GCA_015146655.1	-	VKHL01	14177	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMN00169574
Paramecium tetraurelia strain d4-2	412030	PRJNA18363	18363	Protists	Other Protists	72.0945	28.2	GCA_000165425.1	-	CAAL01	697	39581	39580	30/10/2006	5/7/2011	Scaffold	Genoscope	SAMEA3138302
Acanthamoeba castellanii str. Neff	1257118	PRJNA66753	66753	Protists	Other Protists	42.0198	57.8	GCA_000313135.1	-	AHJI01	384	15650	14969	14/11/2012	15/3/2022	Scaffold	JCVI	SAMN02953809
Perkinsus marinus ATCC 50983	423536	PRJNA12737	12737	Protists	Other Protists	86.6051	47.4	GCA_000006405.1	-	AAXJ01	17897	29475	23654	27/2/2007	6/8/2014	Scaffold	TIGR	SAMN02953677
Meloidogyne incognita	6306	PRJDB9394	641289	Animals	Roundworms	193.15	29.9	GCA_014132215.1	-	BLLR01	374	-	-	23/6/2020	23/6/2020	Contig	Kazusa DNA Research Institute	SAMD00208207
Phytophthora infestans T30-4	403677	PRJNA17665	17665	Protists	Other Protists	228.544	50.6	GCA_000142945.1	-	AATU01	4921	19299	17797	15/11/2006	6/8/2014	Scaffold	Broad Institute	SAMN02953670
Cyanophora paradoxa	2762	PRJNA479824	479824	Protists	Other Protists	99.9404	63.4	GCA_004431415.1	-	QPMI01	712	-	-	5/2/2019	5/2/2019	Contig	"Rutgers, The State University"	SAMN09699894
Blastocystis hominis	12968	PRJEA45923	45923	Protists	Other Protists	18.8172	45.3	GCA_000151665.1	-	CABX01	54	6020	6020	2/7/2010	2/7/2010	Scaffold	Genoscope - Institut de Genomique - CEA	SAMEA2272370
Euglena gracilis	3039	PRJEB27422	477700	Protists	Other Protists	1435.5	50.6	GCA_900893395.1	-	CAAHFI01	2066288	-	-	9/4/2019	9/4/2019	Contig	UNIVERSITY OF CAMBRIDGE	SAMEA4753733
Ichthyophthirius multifiliis	5932	PRJNA49999	49999	Protists	Other Protists	48.8	15.95	GCA_000220395.1	macronuclear:NZ_AEDN00000000.1/AEDN00000000.1	AEDN01	2017	16426	16112	11/7/2011	6/8/2014	Scaffold	J. Craig Venter Institute	SAMN02953779
Ancylostoma caninum	29170	PRJNA72585	72585	Animals	Roundworms	465.734	37	GCA_003336725.1	-	JOJR01	25335	30690	30198	21/7/2018	21/7/2018	Scaffold	The Genome Institute	SAMN02777921
Sterkiella histriomuscorum	94289	PRJNA274292	274292	Protists	Other Protists	66.3686	28.4	GCA_001273305.2	-	LAST02	32996	-	-	21/8/2015	23/12/2015	Contig	HHMI JRC	SAMN03325312
Ancylostoma duodenale	51022	PRJNA72581	72581	Animals	Roundworms	332.876	42.7	GCA_000816745.1	-	JHON01	69981	27836	27483	8/1/2015	16/1/2015	Scaffold	The Genome Institute	SAMN03277212
Ascaris suum	6253	PRJNA62057	62057	Animals	Roundworms	278.642	37.6962	GCA_013433145.1	chromosome 1:CM024168.1; chromosome X1:CM024187.1; chromosome 2:CM024169.1; chromosome X2:CM024188.1; chromosome 3:CM024170.1; chromosome X3:CM024189.1; chromosome 4:CM024171.1; chromosome X4:CM024190.1; chromosome 5:CM024172.1; chromosome X5:CM024191.1; chromosome 6:CM024173.1; chromosome 7:CM024174.1; chromosome 8:CM024175.1; chromosome 9:CM024176.1; chromosome 10:CM024177.1; chromosome 11:CM024178.1; chromosome 12:CM024179.1; chromosome 13:CM024180.1; chromosome 14:CM024181.1; chromosome 15:CM024182.1; chromosome 16:CM024183.1; chromosome 17:CM024184.1; chromosome 18:CM024185.1; chromosome 19:CM024186.1; mitochondrion MT:CM024213.1	JACCHR01	109	-	-	21/7/2020	23/7/2020	Chromosome	"Department of Biochemistry and Molecular Genetics, University of Colorado School of Medicine"	SAMN15096679
Entamoeba dispar SAW760	370354	PRJNA12914	12914	Protists	Other Protists	30.6332	24.1	GCA_000209125.2	-	AANV02	12258	8814	8811	11/2/2006	27/5/2022	Scaffold	TIGR	SAMN02953643
Entamoeba invadens IP1	370355	PRJNA12926	12926	Protists	Other Protists	40.8783	30.3	GCA_000330505.1	-	AANW03	1144	12007	11997	11/2/2006	27/5/2022	Scaffold	TIGR	SAMN02953644
Cryptosporidium hominis TU502	353151	PRJNA13200	13200	Protists	Apicomplexans	8.74357	30.9	GCA_000006425.1	-	AAEL01	1422	3955	3885	27/10/2004	5/8/2014	Scaffold	Virginia Commonwealth University	-
Aureococcus anophagefferens	44056	PRJNA13500	13500	Protists	Other Protists	56.6606	67.4	GCA_000186865.1	-	ACJI01	1185	11522	11520	26/1/2011	4/9/2014	Scaffold	DOE Joint Genome Institute	SAMN02953754
Heterorhabditis bacteriophora	37862	PRJNA13977	13977	Animals	Roundworms	76.9743	33.9	GCA_000223415.1	-	ACKM01	1240	-	-	16/8/2011	6/8/2014	Scaffold	Washington University Genome Sequencing Center	SAMN02953756
Taenia solium	6204	PRJNA170813	170813	Animals	Flatworms	129.811	43	GCA_001870725.1	-	MIEF01	13131	-	-	7/11/2016	7/11/2016	Scaffold	Taenia solium Genome Consortium	SAMN01090682
Monosiga brevicollis MX1	431895	PRJNA19045	19045	Protists	Other Protists	41.7099	54.3258	GCA_000002865.1	mitochondrion MT:NC_004309.1/	ABFJ01	219	9232	9202	20/11/2007	6/8/2014	Scaffold	DOE Joint Genome Institute	SAMN02953695
