#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Saccharomyces bayanus	4931	PRJNA741321	741321	Fungi	Ascomycetes	12.2277	40.0693	GCA_019431265.1	chromosome I:CP080204.1; chromosome II:CP080205.1; chromosome III:CP080206.1; chromosome IV:CP080207.1; chromosome V:CP080208.1; chromosome VI:CP080209.1; chromosome VII:CP080210.1; chromosome VIII:CP080211.1; chromosome IX:CP080212.1; chromosome X:CP080213.1; chromosome XI:CP080214.1; chromosome XII:CP080215.1; chromosome XIII:CP080216.1; chromosome XIV:CP080217.1; chromosome XV:CP080218.1; chromosome XVI:CP080219.1; chromosome XVII:CP080220.1; mitochondrion MT:CP080221.1	-	18	-	-	1/8/2021	1/8/2021	Complete Genome	Saint Louis University	SAMN19865370
Cryptococcus neoformans var. neoformans JEC21	214684	PRJNA13856	13856	Fungi	Basidiomycetes	19.0519	48.5368	GCA_000091045.1	chromosome 1:NC_006670.1/AE017341.1; chromosome 2:NC_006684.1/AE017342.1; chromosome 3:NC_006685.1/AE017343.1; chromosome 4:NC_006686.1/AE017344.1; chromosome 5:NC_006687.1/AE017345.1; chromosome 6:NC_006691.1/AE017346.1; chromosome 7:NC_006692.1/AE017347.1; chromosome 8:NC_006693.1/AE017348.1; chromosome 9:NC_006694.1/AE017349.1; chromosome 10:NC_006679.1/AE017350.1; chromosome 11:NC_006680.1/AE017351.1; chromosome 12:NC_006681.1/AE017352.1; chromosome 13:NC_006682.1/AE017353.1; chromosome 14:NC_006683.1/AE017356.1	-	14	7004	6863	7/1/2005	11/4/2018	Chromosome	TIGR	SAMN03081418
Pyricularia oryzae 70-15	242507	PRJNA13840	13840	Fungi	Ascomycetes	40.9791	51.5882	GCA_000002495.2	chromosome 1:NC_017844.1/CM001231.1; chromosome 2:NC_017850.1/CM001232.1; chromosome 3:NC_017849.1/CM001233.1; chromosome 4:NC_017851.1/CM001234.1; chromosome 5:NC_017852.1/CM001235.1; chromosome 6:NC_017853.1/CM001236.1; chromosome 7:NC_017854.1/CM001237.1	AACU03	53	13184	12989	31/10/2003	31/3/2016	Chromosome	International Rice Blast Genome Consortium	SAMN02953596
Saccharomyces paradoxus	27291	PRJNA625777	625777	Fungi	Ascomycetes	12.0928	38.562	GCA_002079055.1	chromosome I:NC_047487.1/CP020242.1; chromosome II:NC_047488.1/CP020243.1; chromosome III:NC_047489.1/CP020244.1; chromosome IV:NC_047490.1/CP020245.1; chromosome V:NC_047491.1/CP020246.1; chromosome VI:NC_047492.1/CP020247.1; chromosome VII:NC_047493.1/CP020248.1; chromosome VIII:NC_047494.1/CP020249.1; chromosome IX:NC_047495.1/CP020250.1; chromosome X:NC_047496.1/CP020251.1; chromosome XI:NC_047497.1/CP020252.1; chromosome XII:NC_047498.1/CP020253.1; chromosome XIII:NC_047499.1/CP020254.1; chromosome XIV:NC_047500.1/CP020255.1; chromosome XV:NC_047501.1/CP020256.1; chromosome XVI:NC_047502.1/CP020257.1; mitochondrion MT:NC_018044.1/CP020258.1	-	17	5840	5542	21/3/2017	28/4/2020	Chromosome	NCBI	SAMEA2757769
Naumovozyma castellii CBS 4309	1064592	PRJEA70625	70625	Fungi	Ascomycetes	11.2195	36.7559	GCA_000237345.1	chromosome 1:NC_016491.1/HE576752.1; chromosome 2:NC_016492.1/HE576753.1; chromosome 3:NC_016493.1/HE576754.1; chromosome 4:NC_016494.1/HE576755.1; chromosome 5:NC_016495.1/HE576756.1; chromosome 6:NC_016496.1/HE576757.1; chromosome 7:NC_016497.1/HE576758.1; chromosome 8:NC_016498.1/HE576759.1; chromosome 9:NC_016499.1/HE576760.1; chromosome 10:NC_016500.1/HE576761.1	-	10	5867	5589	1/8/2011	2/6/2017	Chromosome	"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin"	SAMEA2271985
Lachancea kluyveri NRRL Y-12651	226302	PRJNA1445	1445	Fungi	Ascomycetes	11.5389	41.5823	GCA_000149225.2	chromosome A:CM000687.1; chromosome B:CM000688.1; chromosome C:CM000689.1; chromosome D:CM000690.1; chromosome E:CM000691.1; chromosome F:CM000692.1; chromosome G:CM000693.1; chromosome H:CM000694.1	AACE03	34	-	-	22/5/2003	6/8/2014	Chromosome	Washington University School of Medicine	SAMN02953588
Ustilago maydis 521	237631	PRJNA1446	1446	Fungi	Basidiomycetes	19.6644	54.0121	GCA_000328475.2	chromosome 1:NC_026478.1/CM003140.1; chromosome 2:NC_026479.1/CM003141.1; chromosome 3:NC_026480.1/CM003142.1; chromosome 4:NC_026481.1/CM003143.1; chromosome 5:NC_026482.1/CM003144.1; chromosome 6:NC_026483.1/CM003145.1; chromosome 7:NC_026484.1/CM003146.1; chromosome 8:NC_026485.1/CM003147.1; chromosome 9:NC_026486.1/CM003148.1; chromosome 10:NC_026487.1/CM003149.1; chromosome 11:NC_026488.1/CM003150.1; chromosome 12:NC_026489.1/CM003151.1; chromosome 13:NC_026490.1/CM003152.1; chromosome 14:NC_026491.1/CM003153.1; chromosome 15:NC_026492.1/CM003154.1; chromosome 16:NC_026493.1/CM003155.1; chromosome 17:NC_026494.1/CM003156.1; chromosome 18:NC_026495.1/CM003157.1; chromosome 19:NC_026496.1/CM003158.1; chromosome 20:NC_026497.1/CM003159.1; chromosome 21:NC_026498.1/CM003160.1; chromosome 22:NC_026499.1/CM003161.1; chromosome 23:NC_026500.1/CM003162.1	AACP02	27	6907	6780	29/7/2003	18/2/2015	Chromosome	Broad Institute	SAMN02900459
Coprinopsis cinerea okayama7#130	240176	PRJNA1447	1447	Fungi	Basidiomycetes	36.1926	51.6	GCA_000182895.1	-	AACS02	68	13657	13356	30/7/2003	27/5/2022	Contig	Broad Institute	SAMN02953595
Eremothecium gossypii ATCC 10895	284811	PRJNA13834	13834	Fungi	Ascomycetes	9.11931	51.6989	GCA_000091025.4	chromosome I:NC_005782.2/AE016814.2; chromosome II:NC_005783.5/AE016815.5; chromosome III:NC_005784.3/AE016816.3; chromosome IV:NC_005785.6/AE016817.6; chromosome V:NC_005786.2/AE016818.2; chromosome VI:NC_005787.5/AE016819.5; chromosome VII:NC_005788.4/AE016820.4; mitochondrion MT:NC_005789.1/AE016821.1	-	8	5356	4776	4/3/2004	14/9/2017	Complete Genome	"Biozentrum, University of Basel, Switzerland"	SAMN03081415
Lachancea waltii NCYC 2644	262981	PRJNA10734	10734	Fungi	Ascomycetes	10.9121	44.3	GCA_000167115.1	-	AADM01	713	-	-	15/3/2004	6/8/2014	Contig	Broad Institute	SAMN02953599
Coccidioides posadasii C735 delta SOWgp	222929	PRJNA9616	9616	Fungi	Ascomycetes	27.0134	46.6	GCA_000151335.1	-	ACFW01	55	7253	7227	17/6/2009	6/8/2014	Contig	TIGR-J. Craig Venter Institute	SAMN02953748
Nakaseomyces glabratus	5478	PRJNA13831	13831	Fungi	Ascomycetes	12.3383	38.6198	GCA_000002545.2	chromosome A:NC_005967.2/CR380947.2; chromosome B:NC_005968.1/CR380948.1; chromosome C:NC_006026.1/CR380949.1; chromosome D:NC_006027.1/CR380950.1; chromosome E:NC_006028.2/CR380951.2; chromosome F:NC_006029.1/CR380952.1; chromosome G:NC_006030.1/CR380953.1; chromosome H:NC_006031.1/CR380954.1; chromosome I:NC_006032.2/CR380955.2; chromosome J:NC_006033.2/CR380956.2; chromosome K:NC_006034.2/CR380957.2; chromosome L:NC_006035.2/CR380958.2; chromosome M:NC_006036.2/CR380959.2; mitochondrion MT:NC_004691.1/	-	14	5458	5213	30/6/2004	25/9/2017	Chromosome	Genolevures Consortium	SAMEA3138172
Kluyveromyces lactis	28985	PRJNA13835	13835	Fungi	Ascomycetes	10.7294	38.7053	GCA_000002515.1	chromosome A:NC_006037.1/CR382121.1; chromosome B:NC_006038.1/CR382122.1; chromosome C:NC_006039.1/CR382123.1; chromosome D:NC_006040.1/CR382124.1; chromosome E:NC_006041.1/CR382125.1; chromosome F:NC_006042.1/CR382126.1; mitochondrion MT:NC_006077.1/	-	7	5335	5085	2/7/2004	25/9/2017	Complete Genome	Genolevures Consortium	SAMEA3138170
Yarrowia lipolytica CLIB122	284591	PRJNA13837	13837	Fungi	Ascomycetes	20.5509	48.9801	GCA_000002525.1	chromosome A:NC_006067.1/CR382127.1; chromosome B:NC_006068.1/CR382128.1; chromosome C:NC_006069.1/CR382129.1; chromosome D:NC_006070.1/CR382130.1; chromosome E:NC_006071.1/CR382131.1; chromosome F:NC_006072.1/CR382132.1; mitochondrion MT:NC_002659.1/	-	7	7144	6472	2/7/2004	6/6/2017	Chromosome	Genolevures Consortium	SAMEA3138171
Debaryomyces hansenii CBS767	284592	PRJNA13832	13832	Fungi	Ascomycetes	12.1819	36.3369	GCA_000006445.2	chromosome A:NC_006043.2/CR382133.2; chromosome B:NC_006044.2/CR382134.2; chromosome C:NC_006045.2/CR382135.2; chromosome D:NC_006046.2/CR382136.2; chromosome E:NC_006047.2/CR382137.2; chromosome F:NC_006048.2/CR382138.2; chromosome G:NC_006049.2/CR382139.2; mitochondrion MT:NC_010166.1/	-	8	6520	6286	3/7/2004	20/4/2018	Chromosome	Genolevures Consortium	SAMEA3138183
Kazachstania servazzii	27293	PRJNA799447	799447	Fungi	Ascomycetes	12.3342	34.4	GCA_028408395.1	-	JAKOOT01	22	-	-	2/2/2023	2/2/2023	Scaffold	The University of Adelaide	SAMN25820613
Zygosaccharomyces rouxii	4956	PRJNA12502	12502	Fungi	Ascomycetes	9.76464	39.1509	GCA_000026365.1	chromosome A:NC_012990.1/CU928173.1; chromosome B:NC_012991.1/CU928174.1; chromosome C:NC_012992.1/CU928175.1; chromosome D:NC_012993.1/CU928176.1; chromosome E:NC_012994.1/CU928181.1; chromosome F:NC_012995.1/CU928178.1; chromosome G:NC_012996.1/CU928179.1	-	7	5323	4991	5/6/2009	25/9/2017	Chromosome	Genolevures Consortium	SAMEA3138235
Ogataea angusta	870730	PRJNA756329	756329	Fungi	Ascomycetes	8.9038	49.4	GCA_019207475.1	-	JAHLUX01	84	5442	5441	13/7/2021	13/7/2021	Contig	NCBI	SAMN18128843
Lachancea thermotolerans CBS 6340	559295	PRJNA12499	12499	Fungi	Ascomycetes	10.3929	47.2838	GCA_000142805.1	chromosome A:NC_013077.1/CU928165.1; chromosome B:NC_013078.1/CU928166.1; chromosome C:NC_013079.1/CU928167.1; chromosome D:NC_013080.1/CU928168.1; chromosome E:NC_013081.1/CU928169.1; chromosome F:NC_013082.1/CU928170.1; chromosome G:NC_013083.1/CU928171.1; chromosome H:NC_013084.1/CU928180.1	-	8	5384	5092	5/6/2009	5/6/2017	Chromosome	Génolevures Consortium	SAMEA3138300
Millerozyma farinosa	4920	PRJNA369593	369593	Fungi	Ascomycetes	21.2555	41.1	GCA_002196765.1	-	NBND01	17	-	-	16/6/2017	16/6/2017	Contig	Kangwon National University	SAMN06289667
Candida tropicalis MYA-3404	294747	PRJNA13675	13675	Fungi	Ascomycetes	14.6301	33.2	GCA_000006335.3	-	AAFN02	24	6441	6254	16/3/2005	27/5/2022	Scaffold	Broad Institute	SAMN02953608
Histoplasma capsulatum G186AR	447093	PRJNA12635	12635	Fungi	Ascomycetes	30.4833	44.6	GCA_000150115.1	-	ABBS02	88	9363	9253	31/8/2007	27/5/2022	Scaffold	WashU	SAMN02953690
Blastomyces dermatitidis ER-3	559297	PRJNA29171	29171	Fungi	Ascomycetes	66.6087	37.1	GCA_000003525.2	-	ACBT01	27	10080	11538	19/2/2009	2/6/2016	Scaffold	Broad Institute	SAMN02953741
Meyerozyma guilliermondii ATCC 6260	294746	PRJNA12729	12729	Fungi	Ascomycetes	10.61	43.8	GCA_000149425.1	-	AAFM01	9	6062	5920	17/3/2005	6/8/2014	Scaffold	Broad Institute	SAMN02953607
Clavispora lusitaniae ATCC 42720	306902	PRJNA12753	12753	Fungi	Ascomycetes	12.1149	44.5	GCA_000003835.1	-	AAFT01	9	6153	5936	16/3/2005	27/5/2022	Scaffold	Broad Institute	SAMN02953613
Chaetomium globosum CBS 148.51	306901	PRJNA12795	12795	Fungi	Ascomycetes	34.8869	55.4	GCA_000143365.1	-	AAFU01	37	11224	11040	14/3/2005	6/8/2014	Scaffold	"The Genome Sequencing Platform, The Genome Assembly Team"	SAMN02953614
Coccidioides immitis RS	246410	PRJNA12883	12883	Fungi	Ascomycetes	29.016	46	GCA_000149335.2	-	AAEC03	7	9905	9910	4/10/2004	13/7/2015	Scaffold	Broad Institute	SAMN02953601
Lodderomyces elongisporus NRRL YB-4239	379508	PRJNA12899	12899	Fungi	Ascomycetes	15.5473	37	GCA_000149685.1	-	AAPO01	28	5908	5799	10/8/2006	6/8/2014	Scaffold	Broad Institute	SAMN02953647
Phakopsora pachyrhizi	170000	PRJEB44222	724583	Fungi	Basidiomycetes	0.85871	38.5	GCA_943181505.1	-	CALPCA02	2	5	4	1/6/2022	27/6/2022	Contig	The John Innes Centre	SAMEA8550306
Rhizopus arrhizus	64495	PRJNA814049	814049	Fungi	Other Fungi	50.2572	35.6	GCA_024220505.1	-	JAKZZE01	41	-	-	12/7/2022	12/7/2022	Contig	Guizhou Academy of Tobacco Science	SAMN26535981
Trichoderma reesei QM6a	431241	PRJNA15571	15571	Fungi	Ascomycetes	33.3957	52.8	GCA_000167675.2	-	AAIL02	77	9116	9111	4/8/2005	1/8/2014	Scaffold	DOE Joint Genome Institute	SAMN02746107
Uncinocarpus reesii 1704	336963	PRJNA15634	15634	Fungi	Ascomycetes	22.3497	48.6	GCA_000003515.2	-	AAIW01	45	7856	7760	13/9/2005	6/8/2014	Scaffold	Broad Institute	SAMN02953631
Allomyces macrogynus ATCC 38327	578462	PRJNA20563	20563	Fungi	Other Fungi	57.0606	60.5	GCA_000151295.1	-	ACDU01	101	19282	19447	21/1/2010	31/7/2015	Scaffold	Broad Institute	SAMN02953744
Paracoccidioides brasiliensis Pb18	502780	PRJNA28733	28733	Fungi	Ascomycetes	29.9525	44.4	GCA_000150735.2	-	ABKI02	57	8522	8390	20/3/2008	24/10/2014	Scaffold	Broad Institute	SAMN02953720
Paxillus involutus ATCC 200175	664439	PRJNA60449	60449	Fungi	Basidiomycetes	58.3007	50	GCA_000827475.1	-	JOMD01	2681	18033	17984	21/1/2015	15/4/2016	Scaffold	JGI	SAMN00723000
Scheffersomyces stipitis CBS 6054	322104	PRJNA16843	16843	Fungi	Ascomycetes	15.4412	41.162	GCA_000209165.1	chromosome 1:NC_009068.1/CM000437.1; chromosome 2:NC_009042.1/CP000496.1; chromosome 3:NC_009043.1/CP000497.1; chromosome 4:NC_009044.1/CP000498.1; chromosome 5:NC_009045.1/CP000499.1; chromosome 6:NC_009046.1/CP000500.1; chromosome 7:NC_009047.1/CP000501.1; chromosome 8:NC_009048.1/CP000502.1	AAVQ01	8	7095	7094	23/2/2007	1/8/2014	Chromosome	DOE Joint Genome Institute	SAMN02746101
Pisolithus microcarpus	178872	PRJNA347213	347213	Fungi	Basidiomycetes	77.2509	49	GCA_024613185.1	-	JANFAI01	151	16928	16747	10/8/2022	10/8/2022	Contig	DOE Joint Genome Institute	SAMN05878668
Puccinia graminis f. sp. tritici CRL 75-36-700-3	418459	PRJNA18535	18535	Fungi	Basidiomycetes	88.7244	43.8	GCA_000149925.1	-	AAWC01	393	16309	15979	22/1/2007	4/8/2014	Scaffold	Broad Institute	SAMN00013043
Komagataella pastoris	4922	PRJNA942376	942376	Fungi	Ascomycetes	9.21609	-	GCA_029632965.1	chromosome 1:CP121226.1; chromosome 2:CP121227.1; chromosome 3:CP121228.1; chromosome 4:CP121229.1	-	4	-	-	10/4/2023	10/4/2023	Chromosome	Nanjing Tech University	SAMN33688472
Saccharomyces pastorianus	27292	PRJNA522669	522669	Fungi	Ascomycetes	23.0346	39.0694	GCA_011022315.1	chromosome ScI:CP048983.1; chromosome ScII:CP048984.1; chromosome ScIV:CP048985.1; chromosome ScIX:CP048990.1; chromosome ScV:CP048986.1; chromosome ScVI:CP048987.1; chromosome ScVII:CP048988.1; chromosome ScVIII:CP048989.1; chromosome ScX-SeX:CP048991.1; chromosome ScXI:CP048992.1; chromosome ScXII:CP048993.1; chromosome ScXIII:CP048994.1; chromosome ScXIV:CP048995.1; chromosome ScXV-ScXI:CP048996.1; chromosome ScXVI:CP048997.1; chromosome SeI:CP048998.1; chromosome SeII-SeIV:CP048999.1; chromosome SeIII-ScIII:CP049000.1; chromosome SeIV-SeII:CP049001.1; chromosome SeIX:CP049006.1; chromosome SeV:CP049002.1; chromosome SeVI:CP049003.1; chromosome SeVII-ScVII:CP049004.1; chromosome SeVIII-SeXV:CP049005.1; chromosome SeX-ScX:CP049007.1; chromosome SeXI:CP049008.1; chromosome SeXII:CP049009.1; chromosome SeXIII-ScXIII:CP049010.1; chromosome SeXIV:CP049011.1; chromosome SeXV-SeVIII:CP049012.1; chromosome SeXVI:CP049013.1; mitochondrion MT:CP049014.1	-	32	11312	10760	26/2/2020	26/2/2020	Chromosome	Delft University of Technology	SAMN10948597
Schizophyllum commune H4-8	578458	PRJNA32757	32757	Fungi	Basidiomycetes	38.6704	57.5	GCA_000143185.2	-	ADMJ02	25	-	-	1/7/2010	5/8/2022	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02194201
Spizellomyces punctatus DAOM BR117	645134	PRJNA37881	37881	Fungi	Other Fungi	24.1311	47.6	GCA_000182565.2	-	ACOE01	38	9169	9422	3/9/2009	29/7/2015	Scaffold	Broad Institute	SAMN00716787
Aspergillus flavus NRRL3357	332952	PRJNA727281	727281	Fungi	Ascomycetes	36.9956	48.0323	GCA_014117465.1	chromosome 1:NC_054691.1/CP059866.1; chromosome 2:NC_054692.1/CP059867.1; chromosome 3:NC_054693.1/CP059868.1; chromosome 4:NC_054694.1/CP059869.1; chromosome 5:NC_054695.1/CP059870.1; chromosome 6:NC_054696.1/CP059871.1; chromosome 7:NC_054697.1/CP059872.1; chromosome 8:NC_054698.1/CP059873.1	-	8	12323	12009	9/8/2020	16/9/2021	Chromosome	NCBI	SAMN14089210
Cryptococcus gattii CA1873	1296111	PRJNA191333	191333	Fungi	Basidiomycetes	17.4383	48	GCA_000855695.1	-	ASCQ01	33	6782	6634	10/2/2015	17/2/2015	Scaffold	Broad Institute	SAMN01932848
Candida dubliniensis CD36	573826	PRJEA34697	34697	Fungi	Ascomycetes	14.6184	33.2489	GCA_000026945.1	chromosome R:NC_012867.1/FM992695.1; chromosome 1:NC_012860.1/FM992688.1; chromosome 2:NC_012861.1/FM992689.1; chromosome 3:NC_012862.1/FM992690.1; chromosome 4:NC_012863.1/FM992691.1; chromosome 5:NC_012864.1/FM992692.1; chromosome 6:NC_012865.1/FM992693.1; chromosome 7:NC_012866.1/FM992694.1	-	8	6093	5859	16/2/2009	28/8/2017	Complete Genome	Wellcome Trust Sanger Institute	SAMEA2272258
Schizosaccharomyces octosporus yFS286	483514	PRJNA13639	13639	Fungi	Ascomycetes	11.6345	37.9	GCA_000150505.2	-	ABHY03	5	5347	4986	12/12/2007	6/8/2014	Scaffold	Broad Institute	SAMN02953709
Schizosaccharomyces japonicus yFS275	402676	PRJNA13640	13640	Fungi	Ascomycetes	11.7332	44.1	GCA_000149845.2	-	AATM02	32	5224	4878	11/10/2006	6/8/2014	Scaffold	Broad Institute	SAMN02953668
Batrachochytrium dendrobatidis JAM81	684364	PRJNA41157	41157	Fungi	Other Fungi	23.8109	39.4	GCA_000203795.1	-	ADAR01	62	8386	8386	7/4/2011	1/8/2014	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02746048
Zymoseptoria tritici IPO323	336722	PRJNA19047	19047	Fungi	Ascomycetes	39.6863	52.1368	GCA_000219625.1	chromosome 1:NC_018218.1/CM001196.1; chromosome 2:NC_018217.1/CM001197.1; chromosome 3:NC_018216.1/CM001198.1; chromosome 4:NC_018215.1/CM001199.1; chromosome 5:NC_018214.1/CM001200.1; chromosome 6:NC_018213.1/CM001201.1; chromosome 7:NC_018212.1/CM001202.1; chromosome 8:NC_018211.1/CM001203.1; chromosome 9:NC_018210.1/CM001204.1; chromosome 10:NC_018209.1/CM001205.1; chromosome 11:NC_018208.1/CM001206.1; chromosome 12:NC_018207.1/CM001207.1; chromosome 13:NC_018206.1/CM001208.1; chromosome 14:NC_018205.1/CM001209.1; chromosome 15:NC_018204.1/CM001210.1; chromosome 16:NC_018203.1/CM001211.1; chromosome 17:NC_018202.1/CM001212.1; chromosome 18:NC_018201.1/CM001213.1; chromosome 19:NC_018200.1/CM001214.1; chromosome 20:NC_018199.1/CM001215.1; chromosome 21:NC_018198.1/CM001216.1	ACPE01	21	10942	10941	22/6/2011	6/2/2020	Chromosome	DOE Joint Genome Institute	SAMN02746078
Parastagonospora nodorum SN15	321614	PRJNA13754	13754	Fungi	Ascomycetes	37.214	50.3719	GCA_000146915.2	mitochondrion MT:NC_009746.1/EU053989.1	AAGI01	108	16114	15994	4/4/2005	6/8/2014	Scaffold	Broad Institute	SAMN02953619
Sclerotinia sclerotiorum 1980 UF-70	665079	PRJNA15530	15530	Fungi	Ascomycetes	38.4592	41.8631	GCA_000146945.2	mitochondrion MT:NC_035155.1/KT283062.1	AAGT01	37	14714	14490	19/9/2005	6/8/2014	Scaffold	Broad Institute	SAMN02953621
Fusarium verticillioides 7600	334819	PRJNA15553	15553	Fungi	Ascomycetes	41.8449	48.6857	GCA_000149555.1	chromosome 1:NC_031675.1/CM000578.1; chromosome 2:NC_031676.1/CM000579.1; chromosome 3:NC_031677.1/CM000580.1; chromosome 4:NC_031678.1/CM000581.1; chromosome 5:NC_031679.1/CM000582.1; chromosome 6:NC_031680.1/CM000583.1; chromosome 7:NC_031681.1/CM000584.1; chromosome 8:NC_031682.1/CM000585.1; chromosome 9:NC_031683.1/CM000586.1; chromosome 10:NC_031684.1/CM000587.1; chromosome 11:NC_031685.1/CM000588.1; mitochondrion MT:NC_016687.1/	AAIM02	37	16290	20574	18/10/2005	6/9/2017	Chromosome	Broad Institute	SAMN02953630
