Species,AltNames,GenoSero-types,Disease_type,Disease_Name,Tax_ID,NCBI_Genbank_ID,Status,Commensal,NNDSS_Notifiable,Reference,Version added
Bartonella bacilliformis,,,bacterial,Bartonellosis/Oroya fever,774,NZ_CP045671.1,is a known pathogen,,,1,1.0.0
Bartonella clarridgeiae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Bartonella elizabethae,,,bacterial,Bartonellosis,807,NZ_LR134527.1,is a known pathogen,,,1,1.0.0
Bartonella grahamii,,,bacterial,Bartonellosis,33045,NC_012846.1,is a known pathogen,,,1,1.0.0
Bartonella henselae,,,bacterial,Bartonellosis,38323,NZ_HG965802.1,is a known pathogen,,,1,1.0.0
Bartonella quintana,,,bacterial,Bartonellosis/Trench fever,803,NZ_AP019773.1,is a known pathogen,,,1,1.0.0
Bartonella vinsonii,,,bacterial,Bartonellosis,,,is a known pathogen,,,31,1.0.0
Bordetella bronchiseptica,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Bordetella pertussis,,,bacterial,Pertussis,520,NZ_CP025371.1,is a known pathogen,,Yes,"1,2",1.0.0
Bordetella parapertussis,,,bacterial,,519,NZ_CP025070.1,is a known pathogen,,,14,1.0.0
Bordetella holmesii,,,bacterial,,35814,NZ_CP043146.1,is a known pathogen,,,15,1.0.0
Bordetella hinzii,,,bacterial,,103855,NZ_CP021395.1,is a known pathogen,,,16,1.0.0
Borrelia duttonii,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Borrelia hermsii,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Borrelia mayonii,,,bacterial,Lyme Disease,1674146,NZ_CP015796.1,is a known pathogen,,,1,1.0.0
Borrelia miyamotoi,,,bacterial,Tickborne relapsing fever,47466,NZ_AP024371.1,is a known pathogen,,,1,1.0.0
Borrelia parkeri,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Borrelia recurrentis,,,bacterial,Tickborne relapsing fever,44449,NC_011244.1,is a known pathogen,,,1,1.0.0
Borrelia turicatae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Borreliella burgdorferi,,,bacterial,Lyme Disease,139,GCF_000181575.2,is a known pathogen,,,1,1.0.0
Brachyspira hyodysenteriae,,,bacterial,,159,NZ_CP046932.1,is a known pathogen,,,1,1.0.0
Brevibacillus brevis,,,bacterial,,1393,NZ_LR134338.1,is a known pathogen,,,1,1.0.0
Brevibacillus laterosporus,,,bacterial,,1465,NZ_CP017705.1,is a known pathogen,,,1,1.0.0
Brucella abortus,,,bacterial,Brucellosis,235,NC_007618.1 (I); NC_007624.1 (II),is a known pathogen,,,1,1.0.0
Brucella canis,,,bacterial,Brucellosis,36855,NC_010103.1 (I); NC_010104.1 (II),is a known pathogen,,,1,1.0.0
Brucella melitensis,,,bacterial,Brucellosis,29459,NC_003317.1 (I); NC_003318.1 (II),is a known pathogen,,,1,1.0.0
Brucella suis,,,bacterial,Brucellosis,29461,NC_004310.3 (I); NC_004311.2 (II),is a known pathogen,,,1,1.0.0
Burkholderia cenocepacia,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Burkholderia cepacia,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Burkholderia mallei,,,bacterial,Glanders,13373,NZ_CP009727.1 (Chr1); NZ_CP009728.1 (Chr2),is a known pathogen,,,1,1.0.0
Burkholderia pseudomallei,,,bacterial,Melioidosis,28450,NZ_CP008781.1 (Chr1); NZ_CP008782.1 (Chr2),is a known pathogen,,,1,1.0.0
Campylobacter coli,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Campylobacter curvus,,,bacterial,Campylobacteriosis,200,NZ_CP053826.1,is a known pathogen,,,1,1.0.0
Campylobacter fetus,,,bacterial,Campylobacteriosis,196,NZ_CP059443.1,is a known pathogen,,,1,1.0.0
Campylobacter jejuni,,,bacterial,Campylobacteriosis,197,NC_002163.1,is a known pathogen,,Yes,1,1.0.0
Campylobacter lari,,,bacterial,Campylobacteriosis,201,NC_012039.1,is a known pathogen,,,1,1.0.0
Cardiobacterium hominis,,,bacterial,,,,is a known pathogen,Upper Respiratory Tract,,37,1.0.1
Capnocytophaga canimorsus,,,bacterial,,,,is a known pathogen,,,3,1.0.0
Chlamydia pneumoniae,,,bacterial,,83558,NC_005043.1,is a known pathogen,,,1,1.0.0
Chlamydia psittaci,,,bacterial,Psittacosis (ornithosis),83554,NC_017287.1,is a known pathogen,,Yes,"1,2",1.0.0
Chlamydia trachomatis,,,bacterial,Chlamydia,813,NC_000117.1,is a known pathogen,,Yes,1,1.0.0
Chromobacterium violaceum,,,bacterial,,,,has been reported in case reports,,,21,1.0.0
Citrobacter koseri,,,bacterial,,545,NC_009792.1,is a known pathogen,,,7,1.0.0
Citrobacter freundii,,,bacterial,,546,NZ_CP033744.1,is a known pathogen,,,7,1.0.0
Clostridioides difficile,,,bacterial,Pseudomembranous colitis,1496,NZ_CP076401.1,is a known pathogen,Gastrointestinal Tract,,1,1.0.0
Clostridium botulinum,,,bacterial,Botulism,1491,NC_009495.1,is a known pathogen,,Yes,1,1.0.0
Clostridium perfringens,,,bacterial,Gas gangrene,1502,NZ_CP075979.1,is a known pathogen,,,1,1.0.0
Clostridium septicum,,,bacterial,,1504,NZ_CP023671.1,is a known pathogen,,,1,1.0.0
Clostridium tetani,,,bacterial,Tetanus,1513,NC_004557.1,is a known pathogen,,Yes,"1,2",1.0.0
Clostridium ramosum,,,bacterial,,,,is a known pathogen,Gastrointestinal Tract,,29,1.0.0
Corynebacterium diphtheriae,,,bacterial,Diptheria,1717,NZ_CP025209.1,is a known pathogen,,Yes,1,1.0.0
Corynebacterium minutissimum,,,bacterial,Erythrasma,38301,NZ_LS483460.1,is a known pathogen,,,1,1.0.0
Corynebacterium striatum,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Corynebacterium ulcerans,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Coxiella burnetii,,,bacterial,Q fever,777,NC_002971.4,is a known pathogen,,Yes,"1,2",1.0.0
Cronobacter sakazakii,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Cronobacter turicensis,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Edwardsiella tarda,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Ehrlichia chaffeensis,,,bacterial,Ehrlichiosis,945,NZ_CP007480.1,is a known pathogen,,,1,1.0.0
Ehrlichia ewingii,,,bacterial,Ehrlichiosis,947,,is a known pathogen,,,1,1.0.0
Ehrlichia muris,,,bacterial,Ehrlichiosis,35795,NC_023063.1,is a known pathogen,,,1,1.0.0
Eikenella corrodens,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Elizabethkingia anophelis,,,bacterial,Elizabethkingia,1117645,NZ_CP023401.1,is a known pathogen,,,1,1.0.0
Elizabethkingia meningoseptica,,,bacterial,Elizabethkingia,238,NZ_CP016378.1,is a known pathogen,,,1,1.0.0
Enterobacter cloacae,,,bacterial,,550,GCF_023702375.1,is a known pathogen,,,1,1.0.0
Enterococcus avium,,,bacterial,,33945,GCF_002891025.1,is a known pathogen,,,10,1.0.0
Enterococcus faecalis,,,bacterial,,1351,GCF_000393015.1,is a known pathogen,Gastrointestinal Tract; Oral Cavity; Female Urogenital Tract,,1,1.0.0
Enterococcus faecium,,,bacterial,,1352,NZ_CP038996.1,is a known pathogen,Gastrointestinal Tract,,9,1.0.0
Enterococcus gallinarum,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Erysipelothrix rhusiopathiae,,,bacterial,,1648,NZ_LR134439.1,is a known pathogen,,,1,1.0.0
Escherichia coli,,,bacterial,Haemolytic uraemic syndrome,562,NC_000913.3,is a known pathogen,,Yes (STEC),"1,2",1.0.0
Finegoldia magna,,,bacterial,,1260,GCF_002243135.1,is a known pathogen,Skin,,1,1.0.0
Fluoribacter bozemanae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Francisella tularensis,,,bacterial,Tularaemia,263,GCF_000833355.1,is a known pathogen,,Yes,"1,2",1.0.0
Fusobacterium necrophorum,,,bacterial,Lemierre's syndrome,859,NZ_CP019306.1,is a known pathogen,,,1,1.0.0
Fusobacterium nucleatum,,,bacterial,,851,NZ_CP028101.1,is a known pathogen,Oral Cavity,,1,1.0.0
Gardnerella vaginalis,,,bacterial,bacterial Vaginosis,2702,GCF_002861965.1,is a known pathogen,Female Urogenital Tract,,1,1.0.0
Gemella haemolysans,,,bacterial,,,GCF_900638055.1,is a known pathogen,Oral Cavity; Upper Respiratory Tract; Gastrointestinal Tract; Genitourinary Tract,,36,1.0.1
Haemophilus aegyptius,,,bacterial,,197575,NZ_LS483429.1,is a known pathogen,,,1,1.0.0
Haemophilus influenzae,,,bacterial,,727,NZ_CP007470.1,is a known pathogen,Upper Respiratory Tract,Yes (HIB),"1,2",1.0.0
Haemophilus parainfluenzae,,,bacterial,,729,GCF_000191405.1,is a known pathogen,Oral Cavity; Upper Respiratory Tract,,1,1.0.0
Helicobacter pylori,,,bacterial,,,,is a known pathogen,Gastrointestinal Tract,,,1.0.0
Kingella kingae,Moraxella kingae,,bacterial,,,,is a known pathogen,Upper Respiratory Tract,,,1.0.0
Kingella denitrificans,,,bacterial,,502,GCF_900451365.1,is a known pathogen,Oral Cavity; Upper Respiratory Tract,,1,1.0.0
Klebsiella aerogenes,,,bacterial,,548,NZ_CP041925.1,is a known pathogen,,,1,1.0.0
Klebsiella granulomatis,,,bacterial,Granuloma inguinale (Donovanosis),39824,,is a known pathogen,,Yes,"1,2",1.0.0
Klebsiella oxytoca,,,bacterial,,571,NZ_CP033844.1,is a known pathogen,,,13,1.0.0
Klebsiella pneumoniae,,,bacterial,,573,NC_016845.1,is a known pathogen,Gastrointestinal Tract,,1,1.0.0
Legionella pneumophila,,,bacterial,Legionellosis (Legionnaire's disease),446,NZ_CP015941.1,is a known pathogen,,Yes,"1,2",1.0.0
Legionella longbeachae,,,bacterial,Pontiac fever,,,is a known pathogen,,,23,1.0.0
Legionella feeleii,,,bacterial,Pontiac fever,,,is a known pathogen,,,24,1.0.0
Legionella micdadei,,,bacterial,Pontiac fever (Lochgoilhead fever),,,is a known pathogen,,,25,1.0.0
Legionella anisa,,,bacterial,Pontiac fever,,,is a known pathogen,,,26,1.0.0
Lelliottia nimipressuralis,,,bacterial,,69220,GCF_021083665.1,has been reported in case reports,,,5,1.0.0
Leptospira alexanderi,,,bacterial,Leptospirosis,100053,GCF_002009845.1,is a known pathogen,,Yes,"1,2",1.0.0
Leptospira alstonii,,,bacterial,Leptospirosis,28452,GCF_001569395.1,is a known pathogen,,Yes,"1,2",1.0.0
Leptospira borgpetersenii,,,bacterial,Leptospirosis,174,"NZ_CP026671.1 (Chr1); 	NZ_CP026672.1 (Chr2)",is a known pathogen,,Yes,"1,2",1.0.0
Leptospira interrogans,,,bacterial,Leptospirosis,173,NZ_CP020414.2,is a known pathogen,,Yes,"1,2",1.0.0
Leptospira kirschneri,,,bacterial,Leptospirosis,29507,GCF_000243695.2,is a known pathogen,,Yes,"1,2",1.0.0
Leptospira kmetyi,,,bacterial,Leptospirosis,408139,"NZ_CP033614.1 (Chr1); 	NZ_CP033615.1 (Chr2)",is a known pathogen,,Yes,"1,2",1.0.0
Leptospira mayottensis,,,bacterial,Leptospirosis,1137606,NZ_CP024871.1 (Chr1); NZ_CP024872.1 (Chr2),is a known pathogen,,Yes,"1,2",1.0.0
Leptospira noguchii,,,bacterial,Leptospirosis,28182,GCF_000306255.2,is a known pathogen,,Yes,"1,2",1.0.0
Leptospira santarosai,,,bacterial,Leptospirosis,28183,"NZ_CP006694.1 (Chr1); 	NZ_CP006695.1 (Chr2)",is a known pathogen,,Yes,"1,2",1.0.0
Leptospira weilii,,,bacterial,Leptospirosis,28184,NZ_CP040840.1 (Chr1); NZ_CP040841.1 (Chr2),is a known pathogen,,Yes,"1,2",1.0.0
Listeria monocytogenes,,,bacterial,Listeriosis,1639,NC_003210.1,is a known pathogen,,Yes,"1,2",1.0.0
Methylorubrum extorquens,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Moraxella catarrhalis,,,bacterial,,480,NZ_CP018059.1,is a known pathogen,Upper Respiratory Tract,,1,1.0.0
Moraxella lacunata,,,bacterial,,477,GCF_900453245.1,is a known pathogen,,,1,1.0.0
Moraxella nonliquefaciens,,,bacterial,,478,NZ_CP065728.1,is a known pathogen,Upper Respiratory Tract,,1,1.0.0
Morganella morganii,,,bacterial,,582,NZ_LR699007.1,is a known pathogen,Gastrointestinal Tract,,1,1.0.0
Mycobacterium avium,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycobacterium intracellulare,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycobacterium kansasii,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycobacterium leprae,,,bacterial,Leprosy,1769,NZ_CP029543.1,is a known pathogen,,Yes,"1,2",1.0.0
Mycobacterium lepromatosis,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycobacterium malmoense,,,bacterial,,1780,NZ_CP080999.1,is a known pathogen,,,1,1.0.0
Mycobacterium marinum,,,bacterial,,1781,NZ_HG917972.2,is a known pathogen,,,1,1.0.0
Mycobacterium scrofulaceum,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycobacterium simiae,,,bacterial,,1784,NZ_AP022568.1,is a known pathogen,Lower Respiratory Tract,,1,1.0.0
Mycobacterium szulgai,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycobacterium tuberculosis,,,bacterial,Tuberculosis,1773,GCF_000195955.2,is a known pathogen,,Yes,"1,2",1.0.0
Mycobacterium ulcerans,,,bacterial,Buruli ulcer,1809,NZ_CP085200.1,is a known pathogen,,,1,1.0.0
Mycobacterium xenopi,,,bacterial,,1789,GCF_900453395.1,is a known pathogen,,,1,1.0.0
Mycobacteroides abscessus,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycobacteroides chelonae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycolicibacter terrae,,,bacterial,,1788,,is a known pathogen,,,1,1.0.0
Mycolicibacterium fortuitum,,,bacterial,,1766,,is a known pathogen,,,1,1.0.0
Mycolicibacterium smegmatis,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycolicibacterium wolinskyi,,,bacterial,,59750,,is a known pathogen,,,1,1.0.0
Mycoplasma caviae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycoplasma fermentans,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycoplasma genitalium,,,bacterial,,2097,,is a known pathogen,,,1,1.0.0
Mycoplasma hominis,,,bacterial,,2098,,is a known pathogen,Lower Urogenital Tract,,1,1.0.0
Mycoplasma penetrans,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Mycoplasma pneumoniae,Mycoplasmoides pneumoniae,,bacterial,,2104,,is a known pathogen,,,1,1.0.0
Mycoplasma salivarium,,,bacterial,,2124,,is a known pathogen,Oral Cavity,,1,1.0.0
Neisseria gonorrhoeae,,,bacterial,Gonorrhoea,485,,is a known pathogen,,Yes,"1,2",1.0.0
Neisseria meningitidis,,,bacterial,Meningococcal disease,487,,is a known pathogen,Upper Respiratory Tract,Yes,"1,2",1.0.0
Neorickettsia sennetsu,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Neoehrlichia mikurensis,Candidatus Neoehrlichia mikurensis,,bacterial,Neoehrlichiosis,,,has been reported in case reports,,,19,1.0.0
Nocardia asteroides,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Nocardia brasiliensis,,,bacterial,,37326,,is a known pathogen,,,1,1.0.0
Nocardia farcinica,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Nocardia nova,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Nocardia otitidiscaviarum,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Olsenella uli,,,bacterial,,633147,,has been reported in case reports,Oral Cavity; Gastrointestinal Tract,,4,1.0.0
Orientia tsutsugamushi,,,bacterial,Scrub typhus,784,,is a known pathogen,,,1,1.0.0
Paraclostridium bifermentans,,,bacterial,,1490,,is a known pathogen,,,1,1.0.0
Parvimonas micra,,,bacterial,,33033,,is a known pathogen,Oral Cavity; Upper Respiratory Tract; Lower Respiratory Tract; Gastrointestinal Tract; Female Urogenital Tract,,1,1.0.0
Pasteurella multocida,,,bacterial,Pasteurellosis,747,,is a known pathogen,,,1,1.0.0
Peptoniphilus asaccharolyticus,,,bacterial,,1258,,is a known pathogen,Skin,,1,1.0.0
Peptostreptococcus anaerobius,,,bacterial,,1261,,is a known pathogen,Gastrointestinal Tract,,1,1.0.0
Photobacterium damselae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Plesiomonas shigelloides,,,bacterial,,703,,is a known pathogen,,,1,1.0.0
Porphyromonas gingivalis,,,bacterial,,837,,is a known pathogen,Oral Cavity,,1,1.0.0
Propionibacterium acnes,,,bacterial,,,,is a known pathogen,Oral Cavity; Gastrointestinal Tract; Eyes; Ear Canal,,,1.0.0
Prevotella bivia,,,bacterial,,28125,,is a known pathogen,Oral Cavity; Female Urogenital Tract,,1,1.0.0
Prevotella intermedia,,,bacterial,,28131,,is a known pathogen,,,1,1.0.0
Prevotella melaninogenica,,,bacterial,,28132,,is a known pathogen,Upper Respiratory Tract,,1,1.0.0
Proteus mirabilis,,,bacterial,,584,,is a known pathogen,,,1,1.0.0
Proteus penneri,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Proteus vulgaris,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Providencia alcalifaciens,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Providencia rettgeri,,,bacterial,,,,has been reported in case reports,,,17,1.0.0
Pseudomonas aeruginosa,,,bacterial,,187,,is a known pathogen,,,3,1.0.0
Pseudomonas fluorescens,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Pseudomonas putida,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Ralstonia pickettii,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Rhodococcus hoagii,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Rickettsia africae,,,bacterial,African tick bite fever,35788,,is a known pathogen,,,1,1.0.0
Rickettsia akari,,,bacterial,Rickettsialpox,786,,is a known pathogen,,,1,1.0.0
Rickettsia australis,,,bacterial,Queensland tick typhus (Spotted fever group rickettsiae),787,,is a known pathogen,,,1,1.0.0
Rickettsia canadensis,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Rickettsia conorii,,,bacterial,Boutonneuse fever,781,,is a known pathogen,,,1,1.0.0
Rickettsia felis,,,bacterial,Cat Flea tick typhus (Spotted fever group rickettsiae),42862,,is a known pathogen,,,1,1.0.0
Rickettsia helvetica,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Rickettsia honei,,,bacterial,Flinders Island tick typhus (Spotted fever group rickettsiae),37816,,is a known pathogen,,,11,1.0.0
Rickettsia japonica,,,bacterial,Japanese spotted fever,35790,,is a known pathogen,,,1,1.0.0
Rickettsia montanensis,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Rickettsia parkeri,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Rickettsia prowazekii,,,bacterial,Epidemic typhus (Louse-borne typhus),782,,is a known pathogen,,,1,1.0.0
Rickettsia rickettsii,,,bacterial,Rocky Mountain spotted fever,783,,is a known pathogen,,,1,1.0.0
Rickettsia sibirica,,,bacterial,North Asian tick typhus (Siberian tick typhus),35793,,is a known pathogen,,,1,1.0.0
Rickettsia typhi,,,bacterial,Murine typhus,785,,is a known pathogen,,,1,1.0.0
Rothia dentocariosa,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Salmonella bongori,,,bacterial,Salmonellosis,54736,,is a known pathogen,,,1,1.0.0
Salmonella enterica,,,bacterial,Salmonellosis,28901,,is a known pathogen,,Yes,"1,2",1.0.0
Serratia marcescens,,,bacterial,,615,,is a known pathogen,,,6,1.0.0
Shewanella algae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Shigella boydii,,,bacterial,Shigellosis,621,,is a known pathogen,,Yes,"1,2",1.0.0
Shigella dysenteriae,,,bacterial,Shigellosis,622,,is a known pathogen,,Yes,"1,2",1.0.0
Shigella flexneri,,,bacterial,Shigellosis,623,,is a known pathogen,,Yes,"1,2",1.0.0
Shigella sonnei,,,bacterial,Shigellosis,624,,is a known pathogen,,Yes,"1,2",1.0.0
Spirillum minus,,,bacterial,Rat Bite Fever,,,is a known pathogen,,,3,1.0.0
Staphylococcus aureus,,,bacterial,,1280,,is a known pathogen,Skin; Upper Respiratory Tract,,1,1.0.0
Staphylococcus capitis,,,bacterial,,29388,,is a known pathogen,Skin,,1,1.0.0
Staphylococcus epidermidis,,,bacterial,,1282,,is a known pathogen,Skin; Upper Respiratory Tract,,1,1.0.0
Staphylococcus haemolyticus,,,bacterial,,1283,,is a known pathogen,Skin,,1,1.0.0
Staphylococcus pseudintermedius,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Staphylococcus saccharolyticus,,,bacterial,,33028,,is a known pathogen,Skin,,1,1.0.0
Staphylococcus saprophyticus,,,bacterial,,29385,,is a known pathogen,,,1,1.0.0
Staphylococcus lugdunensis,,,bacterial,,,,is a known pathogen,Skin,,30,1.0.0
Stenotrophomonas maltophilia,,,bacterial,,40324,,is a known pathogen,,,8,1.0.0
Streptobacillus moniliformis,,,bacterial,Rat Bite Fever,34105,,is a known pathogen,,,1,1.0.0
Streptococcus agalactiae,Group B Streptococcus,,bacterial,,1311,,is a known pathogen,Gastrointestinal Tract; Female Urogenital Tract,,1,1.0.0
Streptococcus anginosus,"Group F,G,L&Viridians Streptococcus",,bacterial,,1328,,is a known pathogen,Upper Respiratory Tract; Gastrointestinal Tract; Urogenital Tract,,1,1.0.0
Streptococcus criceti,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Streptococcus dysgalactiae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Streptococcus equi,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Streptococcus equinus,Group C Streptococcus,,bacterial,,1335,,is a known pathogen,,,1,1.0.0
Streptococcus gallolyticus,Group D Streptococcus,,bacterial,,,,is a known pathogen,Gastrointestinal Tract,,28,1.0.0
Streptococcus gordonii,,,bacterial,,1302,,is a known pathogen,Skin; Oral Cavity; Gastrointestinal Tract,,1,1.0.0
Streptococcus intermedius,,,bacterial,,1338,,is a known pathogen,Upper Respiratory Tract; Gastrointestinal Tract; Urogenital Tract,,1,1.0.0
Streptococcus iniae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Streptococcus mitis,Group M&O Streptococcus,,bacterial,,28037,,is a known pathogen,Oral Cavity,,1,1.0.0
Streptococcus mutans,Viridans Streptococcus,,bacterial,,1309,,is a known pathogen,Oral Cavity,,1,1.0.0
Streptococcus oralis,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Streptococcus pneumoniae,,,bacterial,Pneumococcal disease,1313,,is a known pathogen,Upper Respiratory Tract,Yes,"1,2",1.0.0
Streptococcus pyogenes,Group A Streptococcus,,bacterial,,1314,,is a known pathogen,Upper Respiratory Tract,Yes,"1,2",1.0.0
Streptococcus sanguinis,Group H Streptococcus,,bacterial,,1305,,is a known pathogen,Oral Cavity,,1,1.0.0
Streptococcus sobrinus,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Streptococcus suis,Group R&S Streptococcus,,bacterial,,1307,,is a known pathogen,,,1,1.0.0
Suttonella indologenes,,,bacterial,,13276,,is a known pathogen,Upper Respiratory Tract,,1,1.0.0
Tannerella forsythia,,,bacterial,,28112,,is a known pathogen,,,1,1.0.0
Tatlockia micdadei,,,bacterial,,451,,is a known pathogen,,,1,1.0.0
Treponema denticola,,,bacterial,,158,,is a known pathogen,,,1,1.0.0
Treponema pallidum,,,bacterial,Syphilis,160,,is a known pathogen,,Yes,"1,2",1.0.0
Treponema vincentii,,,bacterial,,69710,,is a known pathogen,,,1,1.0.0
Tropheryma whipplei,,,bacterial,Whipple's disease,2039,,is a known pathogen,,,1,1.0.0
Trueperella pyogenes,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Ureaplasma parvum,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Ureaplasma urealyticum,,,bacterial,,2130,,is a known pathogen,Urogenital Tract,,1,1.0.0
Vibrio alginolyticus,,,bacterial,Vibriosis,663,,is a known pathogen,,,1,1.0.0
Vibrio cholerae,,,bacterial,Cholera,666,,is a known pathogen,,Yes,"1,2",1.0.0
Vibrio parahaemolyticus,,,bacterial,Vibriosis,670,,is a known pathogen,,,1,1.0.0
Vibrio vulnificus,,,bacterial,Vibriosis,672,,is a known pathogen,,,1,1.0.0
Yersinia enterocolitica,,,bacterial,,630,,is a known pathogen,,,1,1.0.0
Yersinia pestis,,,bacterial,Plague,632,,is a known pathogen,,Yes,"1,2",1.0.0
Yersinia pseudotuberculosis,,,bacterial,,633,,is a known pathogen,,,1,1.0.0
Haemophilus ducreyi,,,bacterial,Chancroid,730,,is a known pathogen,,,1,1.0.0
Acanthamoeba astronyxis,,,amoeba,Acanthamoeba keratitis or Granulomatous Amebic Encephalitis (GAE),65658,,is a known pathogen,,,"1,3",1.0.0
